# Listing of surface sag,,,,
#,,,,
# File : C:\Users\Stephen Shectman\Dropbox\lens\1500\Run1536.zmx,,,,
# Title: Magellan 3 Wide-Field 3.0 deg,,,,
# Date : 9/10/2021,,,,
# Configuration 1 of 3,,,,
#,,,,
# Units are Millimeters.,,,,
# Semi-Diameter of surface 34:  6.132713E+002.,,,,
# Algorithm assumes +z goes from air to glass.,,,,
# ,,,,
# Method: Minimum Volume Removal,,,,
# Best Fit Sphere Radius        : -1.104566E+004.,,,,
# Best Fit Sphere Vertex Offset : -3.892766E-003.,,,,
# Maximum Depth to Remove       :  8.523632E-002.,,,,
# Volume To Remove              :  1.765273E+004 cubic Millimeters.,,,,
#,,,,
# JHS 2022-05-29: I replaced the headers below with more intellible ones,,,,
# for my nomenclature --- at least for the columns I am using.,,,,
#Y-coord,Sag,BFS Sag,Deviation,Remove
R,Z,BFS Sag,CRD,Remove
0.000000E+000,0.000000E+000,0.00E+00,0.000000E+000,3.892766E-003
2.000000E+001,-1.80E-02,-1.81E-02,6.948774E-005,3.962254E-003
4.000000E+001,-7.22E-02,-7.24E-02,2.737737E-004,4.166540E-003
6.000000E+001,-1.62E-01,-1.63E-01,6.004670E-004,4.493233E-003
8.000000E+001,-2.89E-01,-2.90E-01,1.029385E-003,4.922151E-003
1.000000E+002,-4.51E-01,-4.53E-01,1.533259E-003,5.426025E-003
1.200000E+002,-6.50E-01,-6.52E-01,2.078719E-003,5.971485E-003
1.400000E+002,-8.85E-01,-8.87E-01,2.627558E-003,6.520324E-003
1.600000E+002,-1.16E+00,-1.16E+00,3.138288E-003,7.031054E-003
1.800000E+002,-1.46E+00,-1.47E+00,3.567965E-003,7.460731E-003
2.000000E+002,-1.81E+00,-1.81E+00,3.874302E-003,7.767068E-003
2.200000E+002,-2.19E+00,-2.19E+00,4.018065E-003,7.910831E-003
2.400000E+002,-2.60E+00,-2.61E+00,3.965747E-003,7.858513E-003
2.600000E+002,-3.06E+00,-3.06E+00,3.692526E-003,7.585292E-003
2.800000E+002,-3.55E+00,-3.55E+00,3.185504E-003,7.078270E-003
3.000000E+002,-4.07E+00,-4.07E+00,2.447225E-003,6.339991E-003
3.200000E+002,-4.63E+00,-4.64E+00,1.499482E-003,5.392247E-003
3.400000E+002,-5.23E+00,-5.23E+00,3.873942E-004,4.280160E-003
3.600000E+002,-5.87E+00,-5.87E+00,-8.16E-04,3.076546E-003
3.800000E+002,-6.54E+00,-6.54E+00,-2.01E-03,1.886564E-003
4.000000E+002,-7.25E+00,-7.25E+00,-3.04E-03,8.526433E-004
4.200000E+002,-7.99E+00,-7.99E+00,-3.73E-03,1.596962E-004
4.400000E+002,-8.77E+00,-8.77E+00,-3.85E-03,4.060709E-005
4.600000E+002,-9.59E+00,-9.58E+00,-3.11E-03,7.820074E-004
4.800000E+002,-1.04E+01,-1.04E+01,-1.16E-03,2.730331E-003
5.000000E+002,-1.13E+01,-1.13E+01,2.405384E-003,6.298150E-003
5.200000E+002,-1.22E+01,-1.22E+01,8.078030E-003,1.197080E-002
5.400000E+002,-1.32E+01,-1.32E+01,1.642049E-002,2.031326E-002
5.600000E+002,-1.42E+01,-1.42E+01,2.808459E-002,3.197736E-002
5.800000E+002,-1.52E+01,-1.52E+01,4.381646E-002,4.770923E-002
6.000000E+002,-1.62E+01,-1.63E+01,6.446429E-002,6.835705E-002
6.132713E+002,-1.70E+01,-1.70E+01,8.134356E-002,8.523632E-002
